"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C29,C26,C23,C22";"CP_EIA-7343-31_Kemet-D";4;"C_Polarized";;;
2;"LG3,LG10,LG11,LG6,LG1,LG4,LSTATUS1,LG2,LG5,LMIDI1,LPOWER1,LG12,LG7,LG9,LG8,LCV1,LCV2,LCV3,LCV4";"3528_ReverseMount_LED";19;"LED";;;
3;"D4,D3,D1,D2";"D_0805_2012Metric";4;"D_Zener";;;
4;"SWITCH1,GTIN3,SWITCH2,POWER3,GTIN6,CVIN4,GTIN9,XSTATUSLED1,CVIN1,XMIDI2,GTIN8,GTIN12,MIDI2,POWER2,GND2,GTIN7,POWER5,GTIN11,GND4,POWER4,XMIDI1,POWER1,CVIN2,GTIN5,GTIN2,GTIN1,GND3,CVIN3,XMIDILED1,GTIN4,XSW1,GTIN10,MIDI1";"WireToBoardCVOCD";33;"Conn_01x01";;;
5;"D7,D6,D8,D5,D9";"D_SOD-123";5;"D_Schottky";;;
6;"C9,C6,C16,C28,C27,C17,C11,C5,C20,C12,C3,C15,C10,C21,C4,C18";"C_0805_2012Metric";16;"C";;;
7;"R9,R26,R18,R5,R2,R17,R24,R6,R23,R10,R11,R32,R14,R21,R12,R19,R7,R20,R13,R22,R30,R8,R16,R28,R3,R1,R15,R4";"R_0805_2012Metric";28;"1k";;;
8;"R33,R40,R35,R34";"R_0805_2012Metric";4;"R";;;
9;"XCV2,GATE8X1,GATE12X1,GATE2X1,GATE10X1,XCV3,GATE3X1,GATE4X1,GATE5X1,GND1,GATE9X1,XCV1,GATE1X1,GATE7X1,XCV4,GATE11X1,GATE6X1";"CINCH-BANANA";17;"Conn_01x01";;;
10;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";8;"MountingHole_3.2mm_M3";;;
11;"C2,C7,C13,C19,C8,C1,C14";"C_0805_2012Metric";7;"100n";;;
12;"R39";"R_0805_2012Metric";1;"3K3";;;
13;"L1";"L_Taiyo-Yuden_MD-4040";1;"L";;;
14;"IC3,IC1,IC2";"SOIC-16_3.9x9.9mm_P1.27mm";3;"4504";;;
15;"SW3,SW1,SW2";"Slide_1P3T_Rev_Mnt_CLSB13B01";3;"SW_SP3T";;;
16;"IC5";"SOT-223-3_TabPin2";1;"AMS1117";;;
17;"IC7";"SOT-223-3_TabPin2";1;"LM317L_SOT-89";;;
18;"R37";"R_0805_2012Metric";1;"2k";;;
19;"C25,C24";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";2;"C";;;
20;"R36";"R_0805_2012Metric";1;"22k";;;
21;"SW4";"Slide_1P2T_Rev_Mnt_CLSB12B01";1;"SW_SPDT";;;
22;"Q2,Q1,Q4,Q3";"SOT-23";4;"2N7002";;;
23;"IC6";"SOT-23-5";1;"AP3012";;;
24;"R25,R27,R29,R31";"R_0805_2012Metric";4;"4k7";;;
25;"L2";"L_1210_3225Metric";1;"L";;;
26;"R38";"R_0805_2012Metric";1;"470";;;
27;"IC4";"SO-14_3.9x8.65mm_P1.27mm";1;"LM324";;;
