Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "cvocd-a.brd" as of: 27/03/2020 13:55:11
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.965,1.170,90
C2,Top,3.120,1.510,90
C3,Top,3.770,1.510,90
C4,Top,3.300,1.300,180
C5,Top,3.295,1.195,0
C6,Top,3.450,1.085,180
C7,Top,3.415,0.555,180
C8,Top,3.800,0.500,0
C9,Top,1.950,1.545,270
C10,Top,1.950,1.355,90
C11,Top,2.440,1.355,90
C12,Top,2.440,1.545,270
D1,Top,0.350,1.290,270
D2,Top,4.040,1.600,0
IC2,Top,2.195,1.450,270
IC3,Top,2.195,1.195,270
IC4,Top,3.465,1.520,270
IC5,Top,3.450,0.850,270
IC6,Top,3.415,0.300,270
IC7,Top,3.800,0.250,90
ICSP,Top,3.835,1.050,270
MIDI_IN,Top,0.650,1.380,0
R1,Top,0.350,1.500,270
R2,Top,1.035,1.600,180
R3,Top,1.265,1.600,0
R4,Top,1.630,1.545,90
R5,Top,1.725,1.545,270
R6,Top,1.630,1.355,270
R7,Top,1.725,1.355,90
R8,Top,1.855,1.545,270
R9,Top,1.855,1.355,90
R10,Top,2.530,1.545,270
R11,Top,2.530,1.355,90
R12,Top,2.660,1.545,270
R13,Top,2.750,1.545,90
R14,Top,2.660,1.355,90
R15,Top,2.750,1.355,270
R16,Top,2.600,1.120,180
R17,Top,3.100,1.120,180
R18,Top,2.300,0.040,180
R19,Top,3.100,0.040,180
R20,Top,3.100,1.300,180
R21,Top,3.100,1.210,180
R22,Top,3.950,1.400,270
R23,Top,4.560,1.240,0
R24,Top,4.805,1.240,0
R25,Top,5.060,1.240,0
R26,Top,4.045,1.120,0
R27,Top,4.560,1.120,0
R28,Top,5.060,1.120,0
R29,Top,5.560,1.120,0
R30,Top,4.200,0.045,0
R31,Top,4.710,0.040,0
R32,Top,5.200,0.040,0
R33,Top,5.610,0.040,0
